Abiturienten an öffentlichen und privaten allgemeinbildenden und beruflichen Schulen in Baden-Württemberg seit dem Schuljahr 1970 nach Schularten
Schuljahr;"Allg. bild. Schulen zus.";"Allg. bild. Schulen zus.";"Allg. bild. Schulen zus.";"Allg. bild. Schulen zus.";"Berufl. Gymnasien zus.";"Berufl. Gymnasien zus.";"Berufl. Gymnasien zus.";"Berufl. Gymnasien zus.";"Berufl. Gymnasien zus.";"Abiturienten insg"
;Anzahl;"Öffentl. allg. bild. Gymnasien";"Priv. allg. bild. Gym­nasien";"Abendgymnasien und Kollegs";Anzahl;"Öffentl. berufl. Gymnasien";"Oberschulen";"Priv. berufl. Gymnasien";"Berufl. Abendgymnasien";Anzahl
1970;11.568;10.071;1.324;173;2.552;2.347;173;13;19;14.120
1971;11.999;10.424;1.349;226;3.086;2.819;240;14;13;15.085
1972;12.999;11.362;1.338;299;3.752;3.388;283;26;55;16.751
1973;14.074;12.304;1.411;359;4.366;4.002;278;36;50;18.440
1974;15.474;13.417;1.643;414;4.836;4.397;353;49;37;20.310
1975;15.815;13.856;1.530;429;5.180;4.750;335;70;25;20.995
1976;17.383;15.340;1.639;404;5.902;5.516;282;75;29;23.285
1977;18.419;16.374;1.665;380;5.901;5.541;245;76;39;24.320
1978;19.139;16.922;1.840;377;6.130;5.754;283;74;19;25.269
1979;16.356;14.342;1.690;324;6.158;5.717;347;72;22;22.519
1980;22.052;19.722;2.002;328;6.542;6.114;331;52;45;28.594
1981;26.049;23.472;2.178;399;7.355;6.904;362;72;17;33.404
1982;27.296;24.579;2.247;470;8.709;8.133;489;74;13;36.005
1983;28.938;26.128;2.376;434;9.756;9.168;501;72;15;38.702
1984;29.650;26.760;2.480;410;10.060;9.550;428;70;12;39.710
1985;30.969;27.965;2.549;455;10.365;9.814;442;100;9;41.334
1986;27.890;25.066;2.381;443;8.857;8.364;396;88;9;36.747
1987;28.162;25.047;2.673;442;8.987;8.474;420;93;.;37.149
1988;28.356;25.190;2.742;424;9.228;8.688;448;92;.;37.584
1989;26.358;23.216;2.680;462;9.143;8.534;511;98;.;35.501
1990;25.019;22.083;2.439;497;9.228;8.527;599;102;.;34.247
1991;23.713;20.771;2.375;567;9.475;8.769;595;111;.;33.188
1992;22.150;19.097;2.490;563;9.457;8.720;622;115;.;31.607
1993;21.126;18.135;2.423;568;9.123;8.368;633;122;.;30.249
1994;21.630;18.619;2.420;591;9.702;8.930;592;180;.;31.332
1995;21.107;18.214;2.383;510;9.877;9.177;506;194;.;30.984
1996;21.548;18.710;2.432;406;9.775;9.100;433;242;.;31.323
1997;21.811;18.939;2.471;401;9.517;8.807;471;239;.;31.328
1998;22.474;19.415;2.645;414;9.945;9.290;378;277;.;32.419
1999;24.009;20.939;2.750;320;10.330;9.665;393;272;.;34.339
2000;25.371;22.035;2.946;390;10.375;9.746;382;247;.;35.746
2001;25.269;22.035;2.864;370;10.536;9.873;400;263;.;35.805
2002;25.742;22.380;3.024;338;10.963;10.242;457;264;.;36.705
2003;26.122;22.412;3.276;434;11.457;10.684;499;274;.;37.579
2004;24.578;21.061;3.076;441;12.335;11.463;567;305;.;36.913
2005;26.404;22.590;3.246;568;12.545;11.655;581;309;.;38.949
2006;28.827;24.678;3.598;551;12.892;11.980;590;322;.;41.719
2007;30.161;25.828;3.685;648;13.272;12.332;574;366;.;43.433
2008;31.673;27.180;3.881;612;13.664;12.637;596;431;.;45.337
2009;33.029;28.545;3.890;594;14.096;12.859;671;566;.;47.125
2010;34.009;29.304;4.152;553;14.353;12.998;688;667;.;48.362
2011;35.374;30.482;4.342;550;15.254;13.511;915;828;.;50.628
2012;59.538;52.266;6.730;542;16.398;14.221;1.009;1.168;.;75.936
2013;33.808;28.906;4.423;479;16.725;14.444;1.077;1.204;.;50.533
2014;33.531;28.637;4.406;488;16.992;14.871;961;1.160;.;50.523
2015;35.128;30.187;4.508;433;18.224;16.143;908;1.173;.;53.352
2016;34.631;29.531;4.729;371;18.646;16.520;832;1.294;.;53.277
2017;33.953;28.874;4.715;364;18.142;16.193;710;1.239;.;52.095
2018;33.109;28.000;4.793;316;18.090;16.016;659;1.415;.;51.199
2019;31.853;26.855;4.753;245;17.292;15.299;584;1.409;.;49.145
2020;29.543;24.615;4.642;286;17.054;15.000;542;1.512;.;46.597
2021;28.445;23.784;4.416;245;15.640;13.772;503;1.365;.;44.085
2022;29.381;24.732;4.455;194;14.742;12.850;473;1.419;.;44.123
 1) Einschließlich der gymnasialen Oberstufe der Schulen besonderer Art (bis 1988: Integrierte Gesamtschulen), Aufbaugymnasien, Evangelisch-theologische Seminare, Abiturienten aus öffentlichen Sonderschulen (1970-1983 einschl. privaten Sonderschulen) und ab 2021 Abiturienten aus öffentlichen Gemeinschaftsschulen. 
2) Einschließlich Freie Waldorfschulen, ab 1984 Privaten Sonderschulen und ab 2021 Abiturienten aus privaten Gemeinschaftsschulen. 
3) Ohne Fachhochschulreife. 
4) Einschließlich fachgebundene Hochschulreife. 
5) Technische Oberschulen, Wirtschaftsoberschulen und Oberschulen für Sozialwesen. 
"6) Einschließlich Externe; ab 1987 wird das berufliche Abendgymnasium bei den Abendgymnasien und Kollegs der allgemeinbildenden Schulen geführt. "
7) Die Angaben zu den Schularten wurden im betreffenden Schuljahr erhoben, die Abiturientenzahlen beziehen sich jedoch auf das Ende des vorangegangenen Schuljahres. 
 Datenquelle: Amtliche Schulstatistik. 
© Statistisches Landesamt Baden-Württemberg, 2023 
