GENESIS-Tabelle: 61121-0001
Harmonisierter Verbraucherpreisindex: Deutschland, Jahre;;
Harmonisierter Verbraucherpreisindex;;
Deutschland;;
;Harmonisierter Verbraucherpreisindex;Veränderungsrate zum Vorjahr
;2015=100;Prozent
2007;89,0;2,3
2008;91,4;2,8
2009;91,6;0,2
2010;92,7;1,1
2011;95,0;2,5
2012;97,0;2,2
2013;98,6;1,6
2014;99,3;0,8
2015;100,0;0,7
2016;100,4;0,4
2017;102,1;1,7
2018;104,0;1,9
2019;105,5;1,4
2020;105,8;0,4
2021;109,2;3,2
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 09.01.2024 / 22:22:07
