GENESIS-Tabelle: 21111-0010
Schüler, Schulanfänger, Absolventen und Abgänger:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundesländer, Schuljahr, Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger;Schüler;Schulanfänger;Absolventen und Abgänger
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
männlich;1997/98;-;-;58197;-;-;67510;-;-;19257;-;-;18905;-;-;3418;-;-;8147;-;-;32386;-;-;14425;-;-;42975;-;-;97202;-;-;22013;-;-;5747;-;-;29596;-;-;19924;-;-;14492;-;-;17927
männlich;1998/99;650777;-;58589;718407;-;66985;209748;-;20102;189510;-;19388;37784;-;3521;89772;-;7882;353974;-;32871;133757;-;14521;487430;-;43805;1165453;-;99208;243900;-;21914;62212;-;5747;287570;-;29975;179626;-;19224;163935;-;14124;163760;-;18093
männlich;1999/00;658612;62803;59056;726064;69837;67111;204295;14214;19304;179077;7952;18928;37826;3311;3591;89748;8018;7843;355185;32453;32371;125004;5754;14414;492861;46618;42949;1172908;104864;99313;248896;23796;22911;62084;5848;5403;269589;12999;30939;168508;8227;19525;166448;15856;14268;152921;7339;18140
männlich;2000/01;662795;60799;59537;733142;69023;69117;198247;13693;20099;167808;7615;18909;37647;3137;3522;89575;7669;7507;356065;31779;31664;115424;5224;11934;497300;45758;43459;1178450;102891;100146;246833;22923;22846;61865;5538;5644;250283;12288;30807;156343;7990;15812;169427;15807;14649;141687;6921;17842
männlich;2001/02;667923;58809;60335;738749;66676;68599;192288;13232;19734;156199;7820;18837;37676;-;3530;90492;7659;7792;356826;31469;31726;108644;5164;13519;500473;43994;46047;1180064;98504;98523;247098;21733;22815;61309;5154;5754;230327;12167;29994;147027;7325;17322;171276;15289;15053;130534;6776;16950
männlich;2002/03;670428;59836;62063;743458;67123;70107;187461;13760;19769;144817;8419;17968;37684;3098;3585;91145;7909;7843;358000;32203;31938;100254;5544;13118;499202;45045;47965;1185338;100325;101777;247792;21841;22589;60896;5327;5869;212845;12928;28640;136668;7670;18115;172969;15414;15082;120775;7341;16841
männlich;2003/04;674114;62491;63709;747648;69433;71013;184292;14304;19840;136952;9392;18539;37738;3462;3889;91876;8201;8133;359110;32995;33159;93142;6274;12719;502647;46002;58241;1192185;104779;105079;249939;23264;22948;60140;5409;5782;198618;14364;28049;126725;8442;18007;174733;16264;15767;112110;8227;16046
